name,description
Verdeva (d/b/a) PayByCar,"PayByCar simplifies your everyday on-the-go transactions by allowing you to pay for goods and services using your toll transponders. Simple, easy and secure."
Mind Legacy,MIND LEGACY is an original idea with an easy format that solves a mankind problem with potential to be used by millions generating a reliable stream of revenue
AnimalHospital.com,"AnimalHospital.com is innovating the way that Pet Owners access Veterinary Services. Through an instant chat and call platform, Pet owners can obtain the adv..."
U Out,"U Out gives restaurants, bars, & venues a new way to engage new & existing customers, extending their reach beyond email lists & outside cluttered social media."
ProsperBull,"The financial literacy program for life success using Integrated, effective lessons in a widely accessible online platform with an affordable membership rate."
Ministry of Supply,Inspiring confidence in men by fusing technology and design and inventing performance professional apparel. Patagonia meets JCrew.
Lok8u LLC,Lok8u is LoJack for loved ones who wander due to Alzheimer's and autism
Verdeva (d/b/a) PayByCar,"PayByCar simplifies your everyday on-the-go transactions by allowing you to pay for goods and services using your toll transponders. Simple, easy and secure."
"CareAline Products, LLC","Our Mission is to provide improved quality of life and SAFETY for patients with Vascular Access lines, their caregivers and their medical professionals."
"Scientific Nutrition Products, Inc.",Our 2.5 oz. drink called Food for Sleep helps competitive athletes achieve better performance and better recovery through better sleep.
FriendlyTransfer,"Friendly Transfer leverages social networks to help friends around the world connect and exchange US$ locally, instead of making costly international transfers"
Energy Compression Inc.,"Adsorption-Enhanced Compressed Air Energy Storage is a uniquely safe, clean and cheap form of grid-scale energy storage"
Quad Technologies,"Quad Technologies' unique dissolvable hydrogel enables high value, robust, and non-toxic consumables for cell separation."
Fetch Storage,Fetch is an innovative storage company that is changing the way people store their physical items. We're fixing the $25bn self-storage industry.
Salemi Industries,The Cell Zone®  is the world‘s first commercial sound resistant cell phone booth that provides a convenient and disturbance-free environment to place and receiv
BlocksCAD Inc,"BlocksCAD is an easy to use, 3D modeling tool, designed for education, to help teachers improve student learning and engagement when working with 3D printers."
Renew Energy Partners,"RENEW develops energy efficiency retrofits in commercial bldgs. Our 1st portfolio (35 projects) provides a competitive return, reduced GhG emissions and jobs!"
Angela&Roi,Angela&Roi is a vertically integrated online handbag brand under the 'Donate by Color' mission. We only use vegan materials.
tablr,"A flexible, easy-to-use, cost-effective table management system for iPad."
Nutrimedy,Nutrimedy is a novel telehealth platform that transforms disease prevention and management by matching people with Registered Dietitians.
Raymond Edward Holdings Corp.,"Knowledge Experience Planning Success. That's what we have. Prosperity is what we are going to create, for both ourselves and our investors."
ConquerX,Early Diagnosis Made Simple
Verdeva (d/b/a) PayByCar,"PayByCar simplifies your everyday on-the-go transactions by allowing you to pay for goods and services using your toll transponders. Simple, easy and secure."
Hstar Technologies,"HSTAR’s pioneering robotics team is creating intelligent robotic assistants that enhance Human safety, Healthcare (quality of care), and Human productivity."
Burning Torch Productions LLC,Psychological Thriller in pre-production seeks investors.
Armory Business Center,"Nine 1,876 sq. ft R&D/manufacturing units leasing at $12.85/sq. ft including CAM. The projected ROI is 15%-25% / year over the 5 to 7 year life of investment."
truVUE,"truVUE is helping create a safer world, one building at a time."
QBD Strategies LLC,95% of new drugs in development fail to demonstrate safety and efficacy. Let us help move your product into the remaining 5%.
3Derm Systems,We use machine learning and standardized skin imaging to triage skin conditions at primary care and expedite urgent cases.
ReactVid,A video technology connecting like-minded viewers. Engaging viewers *directly* around the videos & issues they are passionate about.
1upHealth,"Get Health Data in Minutes! App developers, patients, and providers can connect and share data from health systems in minutes."
Catalytic Innovations,Catalytic Innovations develops electrolysis technology to clean up our air and environment.
Cultural Fabric,"Cultural Fabric provides interactive company culture programs & coaching, creating inclusive spaces where diversity is valued to maximize innovation & returns."
"iRewardHealth, Inc","The world's first smart health incentive program, leveraging machine learning and cash based incentives to effectively motivate healthy behavior change."
APE System,APE helps elite athletic organizations prevent injuries and optimize physical performance.
ScholarJet,ScholarJet helps students pay for college and companies attract early talent through action-based scholarships.
TransformOne,TransformOne provides a cloud solution that will revolutionize how the drug companies manage its clinical and operational data around trials
The Food Loft,"Collaborative workspace and community for food and foodtech entrepreneurs. We offer mentorship, programming and networking to help food startups grow."
Ministry of Supply,Inspiring confidence in men by fusing technology and design and inventing performance professional apparel. Patagonia meets JCrew.
Helius Power,Bridging the gap between digital advertising and offline engagement
